date,equity,cash,positions
20250714,31241148.86,13035317.21,4
20250715,31174629.01,13036610.39,4
20250716,31163788.02,13037903.71,4
20250717,31095454.24,13039197.15,4
20250718,31235255.78,13040490.72,4
20250721,31318614.85,13041784.42,4
20250722,31392085.44,13043078.25,4
20250723,31397589.24,13044372.20,4
20250724,31295864.93,13045666.29,4
20250725,31155502.42,13046960.50,4
20250728,31091722.39,13048254.84,4
20250818,31529261.21,13049549.31,4
20250819,31371323.25,13050843.91,4
20250820,31511206.42,13052138.64,4
20250821,31539179.28,13053433.49,4
20250822,31705635.35,13054728.48,4
20250825,32215300.85,13056023.59,4
20250826,32292087.05,13057318.83,4
20250827,32134314.48,13058614.20,4
20250828,32139417.31,13059909.69,4
20250829,32319798.95,13061205.32,4
20250901,32660166.82,13062501.07,4
20250902,32759047.81,13063796.96,4
20250903,32743786.82,13065092.97,4
20250904,32450871.18,13066389.11,4
20250905,32839022.15,13067685.38,4
20250908,32593822.52,13068981.78,4
20250909,32727171.39,13070278.30,4
20250910,32756059.72,13071574.96,4
20250911,33051065.41,13072871.74,4
20250912,33018690.22,13074168.65,4
20250915,33443639.24,13075465.69,4
20250916,33242056.51,13076762.86,4
20250917,33193686.43,13078060.16,4
20250918,32812252.51,13079357.59,4
20250919,32827536.86,13080655.14,4
20250922,32961332.64,13081952.82,4
20250923,33213594.55,13083250.64,4
